Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;41.248;+284;1.518;1.864;28.8.2020
Bayern;56.639;+448;1.967;2.636;28.8.2020
Berlin;11.011;+77;385;226;28.8.2020
Brandenburg;3.857;+18;75;169;28.8.2020
Bremen;1.958;+14;74;56;28.8.2020
Hamburg;6.167;+30;139;266;28.8.2020
Hessen;15.232;+127;930;530;28.8.2020
Mecklenburg-Vorpommern;1.001;+2;16;20;28.8.2020
Niedersachsen;16.506;+87;500;660;28.8.2020
Nordrhein-Westfalen;58.187;+361;1.888;1.808;28.8.2020
Rheinland-Pfalz;8.874;+32;338;243;28.8.2020
Saarland;3.112;+17;55;174;28.8.2020
Sachsen;5.905;+39;101;225;28.8.2020
Sachsen-Anhalt;2.218;+9;50;65;28.8.2020
Schleswig-Holstein;4.000;+19;122;160;28.8.2020
Thüringen;3.592;+7;53;186;28.8.2020
Gesamt;239.507;+1.571;8.211;9.288;28.8.2020
