Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;317.043;483;5.767;8.074;1.3.2021
Bayern;437.607;1.142;8.649;12.388;1.3.2021
Berlin;129.350;103;2.481;2.817;1.3.2021
Brandenburg;76.566;91;1.625;2.998;1.3.2021
Bremen;18.046;49;565;341;1.3.2021
Hamburg;51.779;126;1.320;1.272;1.3.2021
Hessen;188.623;243;4.116;5.825;1.3.2021
Mecklenburg-Vorpommern;24.554;66;1.058;739;1.3.2021
Niedersachsen;164.864;427;5.206;4.298;1.3.2021
Nordrhein-Westfalen;533.148;804;11.565;13.059;1.3.2021
Rheinland-Pfalz;102.261;265;2.036;3.095;1.3.2021
Saarland;28.960;39;723;870;1.3.2021
Sachsen;194.557;392;3.433;7.760;1.3.2021
Sachsen-Anhalt;60.719;247;2.020;2.421;1.3.2021
Schleswig-Holstein;42.541;96;1.454;1.284;1.3.2021
Thüringen;76.450;159;2.698;2.864;1.3.2021
Gesamt;2.447.068;4.732;54.716;70.105;1.3.2021
