Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;57.455;+967;4.226;1.920;16.10.2020
Bayern;76.680;+1.145;4.647;2.702;16.10.2020
Berlin;20.088;+551;2.710;239;16.10.2020
Brandenburg;5.211;+113;512;172;16.10.2020
Bremen;3.377;+103;498;62;16.10.2020
Hamburg;9.456;+168;603;278;16.10.2020
Hessen;24.151;+670;2.940;571;16.10.2020
Mecklenburg-Vorpommern;1.590;+58;225;20;16.10.2020
Niedersachsen;24.724;+715;2.192;710;16.10.2020
Nordrhein-Westfalen;86.315;+2.154;8.940;1.936;16.10.2020
Rheinland-Pfalz;12.884;+237;1.097;262;16.10.2020
Saarland;4.013;+53;442;177;16.10.2020
Sachsen;9.335;+213;1.033;255;16.10.2020
Sachsen-Anhalt;3.057;+58;179;71;16.10.2020
Schleswig-Holstein;5.510;+54;355;163;16.10.2020
Thüringen;4.711;+75;376;196;16.10.2020
Gesamt;348.557;+7.334;30.975;9.734;16.10.2020
