Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;193.712;3.294;21.277;3.628;16.12.2020
Bayern;267.838;6.532;27.542;5.163;16.12.2020
Berlin;80.936;1.129;6.663;899;16.12.2020
Brandenburg;28.055;596;3.723;540;16.12.2020
Bremen;11.865;129;897;160;16.12.2020
Hamburg;29.990;279;2.300;491;16.12.2020
Hessen;111.433;1.699;11.420;1.906;16.12.2020
Mecklenburg-Vorpommern;8.596;281;1.489;102;16.12.2020
Niedersachsen;87.268;923;7.105;1.482;16.12.2020
Nordrhein-Westfalen;326.681;4.630;30.959;4.786;16.12.2020
Rheinland-Pfalz;58.279;817;6.780;936;16.12.2020
Saarland;16.159;61;1.649;313;16.12.2020
Sachsen;92.409;5.603;16.576;1.855;16.12.2020
Sachsen-Anhalt;19.456;471;3.228;302;16.12.2020
Schleswig-Holstein;18.827;486;2.505;301;16.12.2020
Thüringen;27.734;798;5.438;563;16.12.2020
Gesamt;1.379.238;27.728;149.551;23.427;16.12.2020
