Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;36.819;0;325;1.841;27.7.2020
Bayern;50.501;+219;641;2.619;27.7.2020
Berlin;9.001;+10;215;223;27.7.2020
Brandenburg;3.524;0;39;168;27.7.2020
Bremen;1.747;+1;27;55;27.7.2020
Hamburg;5.322;+18;79;261;27.7.2020
Hessen;11.685;+5;265;518;27.7.2020
Mecklenburg-Vorpommern;843;0;34;20;27.7.2020
Niedersachsen;14.241;+18;192;648;27.7.2020
Nordrhein-Westfalen;47.471;+41;1.323;1.728;27.7.2020
Rheinland-Pfalz;7.434;+14;104;238;27.7.2020
Saarland;2.851;+1;21;174;27.7.2020
Sachsen;5.512;0;24;225;27.7.2020
Sachsen-Anhalt;1.989;+3;33;63;27.7.2020
Schleswig-Holstein;3.322;+4;59;155;27.7.2020
Thüringen;3.347;+6;24;182;27.7.2020
Gesamt;205.609;+340;3.405;9.118;27.7.2020
