Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;152.782;2.063;14.640;2.825;2.12.2020
Bayern;213.308;3.626;22.321;3.970;2.12.2020
Berlin;66.306;1.161;6.273;594;2.12.2020
Brandenburg;19.605;483;2.302;359;2.12.2020
Bremen;10.253;159;808;125;2.12.2020
Hamburg;25.143;288;1.254;385;2.12.2020
Hessen;89.446;1.368;9.625;1.338;2.12.2020
Mecklenburg-Vorpommern;6.116;121;723;65;2.12.2020
Niedersachsen;72.534;948;5.967;1.184;2.12.2020
Nordrhein-Westfalen;267.069;3.354;24.720;3.621;2.12.2020
Rheinland-Pfalz;45.169;798;4.893;572;2.12.2020
Saarland;12.884;70;1.074;258;2.12.2020
Sachsen;58.894;1.857;10.647;1.010;2.12.2020
Sachsen-Anhalt;12.788;260;1.989;181;2.12.2020
Schleswig-Holstein;14.587;243;1.292;258;2.12.2020
Thüringen;17.859;471;2.940;378;2.12.2020
Gesamt;1.084.743;17.270;111.468;17.123;2.12.2020
