Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;311.157;303;4.892;7.940;22.2.2021
Bayern;429.024;732;7.664;12.123;22.2.2021
Berlin;126.898;73;2.103;2.728;22.2.2021
Brandenburg;74.955;112;1.600;2.914;22.2.2021
Bremen;17.485;60;511;327;22.2.2021
Hamburg;50.292;113;1.182;1.223;22.2.2021
Hessen;184.447;195;3.755;5.672;22.2.2021
Mecklenburg-Vorpommern;23.436;78;1.087;692;22.2.2021
Niedersachsen;159.196;599;5.084;4.104;22.2.2021
Nordrhein-Westfalen;521.557;918;11.081;12.633;22.2.2021
Rheinland-Pfalz;100.119;338;2.105;2.993;22.2.2021
Saarland;28.056;0;440;848;22.2.2021
Sachsen;190.814;332;3.045;7.460;22.2.2021
Sachsen-Anhalt;58.674;194;1.975;2.293;22.2.2021
Schleswig-Holstein;41.115;112;1.478;1.211;22.2.2021
Thüringen;73.703;210;2.689;2.742;22.2.2021
Gesamt;2.390.928;4.369;50.691;67.903;22.2.2021
