Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;142.878;3.110;14.344;2.626;27.11.2020
Bayern;197.988;4.455;22.511;3.699;27.11.2020
Berlin;61.664;1.110;7.068;527;27.11.2020
Brandenburg;17.646;635;2.383;316;27.11.2020
Bremen;9.640;-2;756;114;27.11.2020
Hamburg;24.051;721;1.612;358;27.11.2020
Hessen;83.251;1.924;9.873;1.199;27.11.2020
Mecklenburg-Vorpommern;5.695;185;755;58;27.11.2020
Niedersachsen;68.217;1.415;6.570;1.104;27.11.2020
Nordrhein-Westfalen;250.884;5.013;26.919;3.306;27.11.2020
Rheinland-Pfalz;41.682;835;5.250;491;27.11.2020
Saarland;12.041;81;876;249;27.11.2020
Sachsen;49.855;2.165;8.201;800;27.11.2020
Sachsen-Anhalt;11.289;359;1.826;154;27.11.2020
Schleswig-Holstein;13.790;226;1.384;245;27.11.2020
Thüringen;15.823;574;3.179;340;27.11.2020
Gesamt;1.006.394;22.806;113.507;15.586;27.11.2020
