Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;50.105;+398;1.666;1.887;2.10.2020
Bayern;68.853;+371;2.061;2.664;2.10.2020
Berlin;15.032;+244;1.119;229;2.10.2020
Brandenburg;4.326;+26;120;169;2.10.2020
Bremen;2.511;+40;231;59;2.10.2020
Hamburg;7.984;+88;407;271;2.10.2020
Hessen;19.324;+235;1.042;551;2.10.2020
Mecklenburg-Vorpommern;1.203;+8;58;20;2.10.2020
Niedersachsen;20.491;+201;828;689;2.10.2020
Nordrhein-Westfalen;71.357;+777;3.867;1.879;2.10.2020
Rheinland-Pfalz;10.863;+123;452;255;2.10.2020
Saarland;3.338;+23;64;177;2.10.2020
Sachsen;7.349;+61;286;237;2.10.2020
Sachsen-Anhalt;2.677;+23;146;68;2.10.2020
Schleswig-Holstein;4.848;+27;238;162;2.10.2020
Thüringen;4.134;+28;102;191;2.10.2020
Gesamt;294.395;+2.673;12.687;9.508;2.10.2020
