Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.174;-1*;309;1.680;22.5.2020
Bayern;46.024;+95;352;2.358;22.5.2020
Berlin;6.585;+30;176;190;22.5.2020
Brandenburg;3.211;+6;128;152;22.5.2020
Bremen;1.291;+18;189;39;22.5.2020
Hamburg;5.059;+6;275;240;22.5.2020
Hessen;9.656;+82;154;457;22.5.2020
Mecklenburg-Vorpommern;763;+1;47;20;22.5.2020
Niedersachsen;11.420;+58;143;568;22.5.2020
Nordrhein-Westfalen;37.010;+98;206;1.547;22.5.2020
Rheinland-Pfalz;6.566;+11;161;224;22.5.2020
Saarland;2.707;+1;273;157;22.5.2020
Sachsen;5.197;+12;127;203;22.5.2020
Sachsen-Anhalt;1.692;+3;77;54;22.5.2020
Schleswig-Holstein;3.039;+18;105;134;22.5.2020
Thüringen;2.818;+22;131;151;22.5.2020
Gesamt;177.212;+460;213;8.174;22.5.2020
