Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;118.596;+1.600;14.782;2.297;17.11.2020
Bayern;160.729;+1.880;22.744;3.191;17.11.2020
Berlin;49.039;+1.342;7.575;371;17.11.2020
Brandenburg;13.260;+387;2.005;251;17.11.2020
Bremen;8.277;+57;1.020;98;17.11.2020
Hamburg;20.405;+185;2.032;314;17.11.2020
Hessen;66.503;+1.024;10.276;905;17.11.2020
Mecklenburg-Vorpommern;4.464;+29;664;40;17.11.2020
Niedersachsen;56.182;+749;7.669;917;17.11.2020
Nordrhein-Westfalen;207.224;+4.407;29.798;2.700;17.11.2020
Rheinland-Pfalz;33.459;+896;5.920;370;17.11.2020
Saarland;10.300;190;1.395;217;17.11.2020
Sachsen;36.083;+1.113;7.042;546;17.11.2020
Sachsen-Anhalt;8.383;+222;1.352;106;17.11.2020
Schleswig-Holstein;11.623;+101;1.364;227;17.11.2020
Thüringen;11.219;+237;1.958;264;17.11.2020
Gesamt;815.746;+14.419;117.596;12.814;17.11.2020
