Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;38.740;+228;749;1.859;18.8.2020
Bayern;53.298;+314;1.175;2.631;18.8.2020
Berlin;10.319;+66;503;224;18.8.2020
Brandenburg;3.708;+5;54;169;18.8.2020
Bremen;1.851;+6;39;56;18.8.2020
Hamburg;5.901;+14;142;264;18.8.2020
Hessen;13.675;+189;828;528;18.8.2020
Mecklenburg-Vorpommern;975;+2;29;20;18.8.2020
Niedersachsen;15.482;+54;388;656;18.8.2020
Nordrhein-Westfalen;55.049;+396;2.743;1.780;18.8.2020
Rheinland-Pfalz;8.224;+76;325;242;18.8.2020
Saarland;3.008;+8;62;174;18.8.2020
Sachsen;5.736;+5;67;225;18.8.2020
Sachsen-Anhalt;2.126;+3;50;64;18.8.2020
Schleswig-Holstein;3.807;+17;175;158;18.8.2020
Thüringen;3.505;+7;62;186;18.8.2020
Gesamt;225.404;+1.390;7.391;9.236;18.8.2020
