Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.002;+37;167;1.801;11.6.2020
Bayern;47.536;+57;336;2.536;11.6.2020
Berlin;7.138;+56;204;208;11.6.2020
Brandenburg;3.352;+43;40;161;11.6.2020
Bremen;1.565;+18;101;43;11.6.2020
Hamburg;5.125;+4;17;254;11.6.2020
Hessen;10.296;+40;161;489;11.6.2020
Mecklenburg-Vorpommern;778;+1;15;20;11.6.2020
Niedersachsen;12.727;+101;424;610;11.6.2020
Nordrhein-Westfalen;38.983;+138;694;1.641;11.6.2020
Rheinland-Pfalz;6.827;+17;95;231;11.6.2020
Saarland;2.766;+3;29;167;11.6.2020
Sachsen;5.346;+9;29;219;11.6.2020
Sachsen-Anhalt;1.728;+7;17;56;11.6.2020
Schleswig-Holstein;3.117;+2;12;148;11.6.2020
Thüringen;3.130;+22;80;171;11.6.2020
Gesamt;185.416;+555;2.421;8.755;11.6.2020
