Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;49.421;213;1.616;1.885;30.9.2020
Bayern;67.996;233;2.025;2.664;30.9.2020
Berlin;14.500;173;995;228;30.9.2020
Brandenburg;4.258;7;110;169;30.9.2020
Bremen;2.435;50;188;59;30.9.2020
Hamburg;7.837;87;427;270;30.9.2020
Hessen;18.945;157;1.042;551;30.9.2020
Mecklenburg-Vorpommern;1.180;12;45;20;30.9.2020
Niedersachsen;20.162;136;872;684;30.9.2020
Nordrhein-Westfalen;69.822;538;3.468;1.872;30.9.2020
Rheinland-Pfalz;10.698;68;447;254;30.9.2020
Saarland;3.297;0;37;177;30.9.2020
Sachsen;7.202;51;318;234;30.9.2020
Sachsen-Anhalt;2.619;6;123;68;30.9.2020
Schleswig-Holstein;4.772;48;267;162;30.9.2020
Thüringen;4.075;19;85;191;30.9.2020
Gesamt;289.219;1.798;12.065;9.488;30.9.2020
