Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;66.838;+1.753;7.496;1.966;24.10.2020
Bayern;88.319;+2.265;9.767;2.740;24.10.2020
Berlin;25.374;+893;4.139;248;24.10.2020
Brandenburg;6.309;+289;804;180;24.10.2020
Bremen;4.152;+276;685;64;24.10.2020
Hamburg;11.043;+360;1.164;283;24.10.2020
Hessen;31.128;+1.730;5.903;607;24.10.2020
Mecklenburg-Vorpommern;2.056;+120;389;21;24.10.2020
Niedersachsen;29.101;+1.023;3.441;728;24.10.2020
Nordrhein-Westfalen;104.617;+4.370;15.703;2.008;24.10.2020
Rheinland-Pfalz;15.781;+595;2.348;268;24.10.2020
Saarland;5.008;+152;700;178;24.10.2020
Sachsen;12.453;+382;2.219;273;24.10.2020
Sachsen-Anhalt;3.760;+118;534;73;24.10.2020
Schleswig-Holstein;6.520;+236;882;164;24.10.2020
Thüringen;5.546;+152;692;202;24.10.2020
Gesamt;418.005;+14.714;56.866;10.003;24.10.2020
