Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;44.618;+222;1.441;1.868;11.9.2020
Bayern;61.158;+399;2.398;2.644;11.9.2020
Berlin;12.090;+139;522;226;11.9.2020
Brandenburg;3.984;+18;70;169;11.9.2020
Bremen;2.109;+15;62;58;11.9.2020
Hamburg;6.699;+73;236;267;11.9.2020
Hessen;16.603;+103;659;537;11.9.2020
Mecklenburg-Vorpommern;1.046;+2;27;20;11.9.2020
Niedersachsen;17.645;+73;473;665;11.9.2020
Nordrhein-Westfalen;61.505;+304;1.588;1.828;11.9.2020
Rheinland-Pfalz;9.623;+63;349;245;11.9.2020
Saarland;3.222;+4;45;175;11.9.2020
Sachsen;6.282;+27;156;225;11.9.2020
Sachsen-Anhalt;2.314;+9;42;66;11.9.2020
Schleswig-Holstein;4.207;+10;97;161;11.9.2020
Thüringen;3.745;+23;77;188;11.9.2020
Gesamt;256.850;+1.484;8.242;9.342;11.9.2020
