Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;45.755;+432;1.456;1.868;16.9.2020
Bayern;62.809;+408;2.275;2.647;16.9.2020
Berlin;12.463;+109;538;227;16.9.2020
Brandenburg;4.033;+17;65;169;16.9.2020
Bremen;2.159;+22;71;59;16.9.2020
Hamburg;6.917;+71;267;268;16.9.2020
Hessen;17.084;+99;685;542;16.9.2020
Mecklenburg-Vorpommern;1.074;+10;33;20;16.9.2020
Niedersachsen;18.160;+137;620;667;16.9.2020
Nordrhein-Westfalen;63.155;+430;2.199;1.837;16.9.2020
Rheinland-Pfalz;9.859;+64;341;247;16.9.2020
Saarland;3.240;+6;45;175;16.9.2020
Sachsen;6.467;+37;236;226;16.9.2020
Sachsen-Anhalt;2.366;+7;58;66;16.9.2020
Schleswig-Holstein;4.288;+33;116;161;16.9.2020
Thüringen;3.834;+19;123;189;16.9.2020
Gesamt;263.663;+1.901;9.128;9.368;16.9.2020
