Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;43.592;+169;1.458;1.865;7.9.2020
Bayern;59.298;+284;1891;2.642;7.9.2020
Berlin;11.727;+24;512;226;7.9.2020
Brandenburg;3.931;+4;52;169;7.9.2020
Bremen;2.070;+3;80;58;7.9.2020
Hamburg;6.486;0*;185;267;7.9.2020
Hessen;16.145;+47;664;535;7.9.2020
Mecklenburg-Vorpommern;1.023;0*;15;20;7.9.2020
Niedersachsen;17.284;+48;478;665;7.9.2020
Nordrhein-Westfalen;60.433;+176;1.608;1.823;7.9.2020
Rheinland-Pfalz;9.364;+40;269;243;7.9.2020
Saarland;3.199;+2;47;174;7.9.2020
Sachsen;6.149;+2;178;225;7.9.2020
Sachsen-Anhalt;2.282;+1;37;66;7.9.2020
Schleswig-Holstein;4.126;+6;93;161;7.9.2020
Thüringen;3.690;+8;60;186;7.9.2020
Gesamt;250.799;+814;7.627;9.325;7.9.2020
