Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;44.396;+278;1.500;1.868;10.9.2020
Bayern;60.759;+638;2.396;2.644;10.9.2020
Berlin;11.951;+72;459;226;10.9.2020
Brandenburg;3.966;+7;64;169;10.9.2020
Bremen;2.094;+9;58;58;10.9.2020
Hamburg;6.626;+99;213;267;10.9.2020
Hessen;16.500;+125;698;537;10.9.2020
Mecklenburg-Vorpommern;1.044;+6;29;20;10.9.2020
Niedersachsen;17.572;+118;495;665;10.9.2020
Nordrhein-Westfalen;61.201;+323;1.589;1.827;10.9.2020
Rheinland-Pfalz;9.560;+77;343;245;10.9.2020
Saarland;3.218;+10;48;175;10.9.2020
Sachsen;6.255;+64;160;225;10.9.2020
Sachsen-Anhalt;2.305;+15;42;66;10.9.2020
Schleswig-Holstein;4.197;+29;108;161;10.9.2020
Thüringen;3.722;+22;66;188;10.9.2020
Gesamt;255.366;+1.892;8.268;9.341;10.9.2020
