Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;110.633;+2.984;14.909;2.225;13.11.2020
Bayern;148.882;+4.177;23.714;3.081;13.11.2020
Berlin;45.106;+1.960;7.003;334;13.11.2020
Brandenburg;11.852;+369;1.580;230;13.11.2020
Bremen;7.803;+238;1.184;93;13.11.2020
Hamburg;18.914;+659;2.104;310;13.11.2020
Hessen;61.055;+1.684;10.962;836;13.11.2020
Mecklenburg-Vorpommern;4.165;+255;705;36;13.11.2020
Niedersachsen;51.770;+1.603;7.597;882;13.11.2020
Nordrhein-Westfalen;191.011;+5.873;29.595;2.581;13.11.2020
Rheinland-Pfalz;30.250;+1.292;5.629;352;13.11.2020
Saarland;9.452;+176;1.366;208;13.11.2020
Sachsen;31.538;+1.438;5.922;474;13.11.2020
Sachsen-Anhalt;7.641;+274;1.266;105;13.11.2020
Schleswig-Holstein;10.924;+209;1.546;213;13.11.2020
Thüringen;10.099;+351;1.688;240;13.11.2020
Gesamt;751.095;+23.542;116.770;12.200;13.11.2020
