Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;48.900;+433;1.518;1.880;28.9.2020
Bayern;67.356;+101;2.130;2.659;28.9.2020
Berlin;14.196;+83;1055;228;28.9.2020
Brandenburg;4.217;+3;108;169;28.9.2020
Bremen;2.372;+6;154;59;28.9.2020
Hamburg;7.690;+52;405;269;28.9.2020
Hessen;18.644;+37;987;550;28.9.2020
Mecklenburg-Vorpommern;1.151;0;38;20;28.9.2020
Niedersachsen;19.772;0;722;683;28.9.2020
Nordrhein-Westfalen;68.720;+325;3.237;1.865;28.9.2020
Rheinland-Pfalz;10.554;+71;410;251;28.9.2020
Saarland;3.295;0;59;176;28.9.2020
Sachsen;7.122;+27;341;233;28.9.2020
Sachsen-Anhalt;2.603;+34;143;67;28.9.2020
Schleswig-Holstein;4.686;+15;241;161;28.9.2020
Thüringen;4.054;+5;108;190;28.9.2020
Gesamt;285.332;+1.192;11.656;9.460;28.9.2020
