Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.767;+18;316;1.858;9.8.2020
Bayern;51.803;+9;632;2.626;9.8.2020
Berlin;9.688;+48;351;224;9.8.2020
Brandenburg;3.626;+4;50;169;9.8.2020
Bremen;1.803;+3;21;56;9.8.2020
Hamburg;5.664;+54;221;262;9.8.2020
Hessen;12.703;+101;572;525;9.8.2020
Mecklenburg-Vorpommern;936;+6;56;20;9.8.2020
Niedersachsen;14.943;+32;341;654;9.8.2020
Nordrhein-Westfalen;51.561;+231;2.180;1.759;9.8.2020
Rheinland-Pfalz;7.771;+23;220;239;9.8.2020
Saarland;2.926;+13;36;174;9.8.2020
Sachsen;5.632;+0;84;225;9.8.2020
Sachsen-Anhalt;2.057;+0;27;64;9.8.2020
Schleswig-Holstein;3.586;+8;115;158;9.8.2020
Thüringen;3.425;+5;49;183;9.8.2020
Gesamt;215.891;+555;5.271;9.196;9.8.2020
