Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;47.883;+293;1.500;1.875;24.9.2020
Bayern;66.192;+446;2.437;2.654;24.9.2020
Berlin;13.573;+199;881;228;24.9.2020
Brandenburg;4.150;+34;85;169;24.9.2020
Bremen;2.262;+12;90;59;24.9.2020
Hamburg;7.369;+78;337;269;24.9.2020
Hessen;18.035;+165;752;546;24.9.2020
Mecklenburg-Vorpommern;1.136;+5;57;20;24.9.2020
Niedersachsen;19.315;+178;804;678;24.9.2020
Nordrhein-Westfalen;66.680;+489;2.905;1.859;24.9.2020
Rheinland-Pfalz;10.282;+52;325;248;24.9.2020
Saarland;3.262;+10;55;176;24.9.2020
Sachsen;6.887;+71;309;229;24.9.2020
Sachsen-Anhalt;2.497;+27;104;67;24.9.2020
Schleswig-Holstein;4.540;+42;210;161;24.9.2020
Thüringen;4.007;+42;131;190;24.9.2020
Gesamt;278.070;+2.143;10.982;9.428;24.9.2020
