Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;308.077;911;4.609;7.856;18.2.2021
Bayern;424.534;1.721;7.257;11.945;18.2.2021
Berlin;125.726;452;1.759;2.670;18.2.2021
Brandenburg;74.065;392;1.702;2.874;18.2.2021
Bremen;17.170;97;448;317;18.2.2021
Hamburg;49.553;234;1.114;1.206;18.2.2021
Hessen;182.385;862;3.467;5.598;18.2.2021
Mecklenburg-Vorpommern;22.822;197;1.034;664;18.2.2021
Niedersachsen;155.840;940;4.844;3.977;18.2.2021
Nordrhein-Westfalen;514.947;2.068;10.246;12.424;18.2.2021
Rheinland-Pfalz;98.759;368;1.866;2.945;18.2.2021
Saarland;27.850;127;574;835;18.2.2021
Sachsen;188.956;702;2.694;7.294;18.2.2021
Sachsen-Anhalt;57.479;394;1.840;2.221;18.2.2021
Schleswig-Holstein;40.273;232;1.521;1.190;18.2.2021
Thüringen;72.170;510;2.550;2.682;18.2.2021
Gesamt;2.360.606;10.207;47.525;66.698;18.2.2021
