Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;316.560;988;5.551;8.068;28.2.2021
Bayern;436.465;1.241;8.116;12.381;28.2.2021
Berlin;129.247;311;2.397;2.817;28.2.2021
Brandenburg;76.475;251;1.597;2.996;28.2.2021
Bremen;17.997;103;544;339;28.2.2021
Hamburg;51.653;203;1.344;1.270;28.2.2021
Hessen;188.380;589;3.988;5.824;28.2.2021
Mecklenburg-Vorpommern;24.488;175;1.048;739;28.2.2021
Niedersachsen;164.437;843;5.066;4.296;28.2.2021
Nordrhein-Westfalen;532.344;1.641;11.512;13.044;28.2.2021
Rheinland-Pfalz;101.996;173;1.996;3.092;28.2.2021
Saarland;28.921;124;718;869;28.2.2021
Sachsen;194.165;458;3.167;7.755;28.2.2021
Sachsen-Anhalt;60.472;236;1.879;2.414;28.2.2021
Schleswig-Holstein;42.445;210;1.470;1.282;28.2.2021
Thüringen;76.291;344;2.699;2.859;28.2.2021
Gesamt;2.442.336;7.890;53.092;70.045;28.2.2021
