Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;52.814;+583;2.498;1.898;9.10.2020
Bayern;71.759;+725;2.750;2.684;9.10.2020
Berlin;17.112;+497;1.873;233;9.10.2020
Brandenburg;4.603;+42;225;169;9.10.2020
Bremen;2.880;+75;367;60;9.10.2020
Hamburg;8.669;+125;549;276;9.10.2020
Hessen;21.092;+430;1.625;557;9.10.2020
Mecklenburg-Vorpommern;1.344;+12;102;20;9.10.2020
Niedersachsen;22.142;+399;1.350;695;9.10.2020
Nordrhein-Westfalen;76.796;+1.125;5.136;1.900;9.10.2020
Rheinland-Pfalz;11.602;+103;653;256;9.10.2020
Saarland;3.551;+52;165;177;9.10.2020
Sachsen;7.987;+190;549;243;9.10.2020
Sachsen-Anhalt;2.832;+17;129;68;9.10.2020
Schleswig-Holstein;5.155;+79;286;162;9.10.2020
Thüringen;4.322;+62;180;191;9.10.2020
Gesamt;314.660;+4.516;18.437;9.589;9.10.2020
