Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;47.590;+237;1.561;1.874;23.9.2020
Bayern;65.746;+415;2.500;2.653;23.9.2020
Berlin;13.374;+117;857;228;23.9.2020
Brandenburg;4.116;+15;69;169;23.9.2020
Bremen;2.250;+27;93;59;23.9.2020
Hamburg;7.291;+61;313;269;23.9.2020
Hessen;17.870;+113;762;545;23.9.2020
Mecklenburg-Vorpommern;1.131;+8;52;20;23.9.2020
Niedersachsen;19.137;+173;804;670;23.9.2020
Nordrhein-Westfalen;66.191;+438;2.885;1.854;23.9.2020
Rheinland-Pfalz;10.230;+47;354;248;23.9.2020
Saarland;3.252;+18;67;176;23.9.2020
Sachsen;6.816;+42;280;227;23.9.2020
Sachsen-Anhalt;2.470;+13;93;67;23.9.2020
Schleswig-Holstein;4.498;+38;199;161;23.9.2020
Thüringen;3.965;+7;114;189;23.9.2020
Gesamt;275.927;+1.769;11.003;9.409;23.9.2020
