Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.890;+28;168;1.837;8.7.2020
Bayern;48.953;+101;452;2.607;8.7.2020
Berlin;8.502;+40;226;215;8.7.2020
Brandenburg;3.476;+8;31;168;8.7.2020
Bremen;1.679;0;12;54;8.7.2020
Hamburg;5.224;+1;19;261;8.7.2020
Hessen;11.012;+27;190;512;8.7.2020
Mecklenburg-Vorpommern;805;0;1;20;8.7.2020
Niedersachsen;13.748;+17;146;639;8.7.2020
Nordrhein-Westfalen;44.306;+148;930;1.696;8.7.2020
Rheinland-Pfalz;7.100;+6;64;235;8.7.2020
Saarland;2.808;+2;5;174;8.7.2020
Sachsen;5.465;+6;13;224;8.7.2020
Sachsen-Anhalt;1.896;+2;21;59;8.7.2020
Schleswig-Holstein;3.194;+5;34;153;8.7.2020
Thüringen;3.283;+6;27;182;8.7.2020
Gesamt;197.341;+397;2.339;9.036;8.7.2020
