Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;39.493;+266;1.076;1.863;21.8.2020
Bayern;54.416;+315;1.676;2.632;21.8.2020
Berlin;10.543;+80;388;226;21.8.2020
Brandenburg;3.758;+18;67;169;21.8.2020
Bremen;1.885;+8;57;56;21.8.2020
Hamburg;5.989;+35;126;265;21.8.2020
Hessen;14.260;+231;974;528;21.8.2020
Mecklenburg-Vorpommern;984;+3;25;20;21.8.2020
Niedersachsen;15.885;+161;545;659;21.8.2020
Nordrhein-Westfalen;55.936;+166;2.133;1.790;21.8.2020
Rheinland-Pfalz;8.514;+87;436;242;21.8.2020
Saarland;3.040;+1;63;174;21.8.2020
Sachsen;5.788;+19;66;225;21.8.2020
Sachsen-Anhalt;2.155;+9;49;65;21.8.2020
Schleswig-Holstein;3.872;+21;129;160;21.8.2020
Thüringen;3.530;+7;43;186;21.8.2020
Gesamt;230.048;+1.427;7.853;9.260;21.8.2020
