Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;55.639;+700;3.595;1.909;14.10.2020
Bayern;74.459;+671;3.776;2.693;14.10.2020
Berlin;19.033;+706;2.604;237;14.10.2020
Brandenburg;4.997;+203;436;172;14.10.2020
Bremen;3.166;+53;462;62;14.10.2020
Hamburg;9.153;+113;533;278;14.10.2020
Hessen;22.819;+509;2.323;567;14.10.2020
Mecklenburg-Vorpommern;1.472;+56;154;20;14.10.2020
Niedersachsen;23.560;+295;1.768;702;14.10.2020
Nordrhein-Westfalen;82.356;+1164;7.446;1.923;14.10.2020
Rheinland-Pfalz;12.410;+175;1.005;260;14.10.2020
Saarland;3.867;+147;367;177;14.10.2020
Sachsen;8.742;+183;883;250;14.10.2020
Sachsen-Anhalt;2.966;+24;151;68;14.10.2020
Schleswig-Holstein;5.391;+66;354;163;14.10.2020
Thüringen;4.555;+67;306;196;14.10.2020
Gesamt;334.585;+5.132;26.163;9.677;14.10.2020
