Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;305.024;767;5.666;7.717;13.2.2021
Bayern;419.644;1.188;7.909;11.645;13.2.2021
Berlin;124.518;384;2.105;2.598;13.2.2021
Brandenburg;72.853;284;1.842;2.783;13.2.2021
Bremen;16.858;61;408;307;13.2.2021
Hamburg;48.686;228;1.103;1.188;13.2.2021
Hessen;180.050;583;3.794;5.434;13.2.2021
Mecklenburg-Vorpommern;22.107;179;1.032;626;13.2.2021
Niedersachsen;152.454;885;4.789;3.812;13.2.2021
Nordrhein-Westfalen;508.203;1.672;10.236;12.064;13.2.2021
Rheinland-Pfalz;97.521;380;2.087;2.873;13.2.2021
Saarland;27.514;233;750;814;13.2.2021
Sachsen;187.061;541;2.784;7.106;13.2.2021
Sachsen-Anhalt;56.131;344;1.655;2.090;13.2.2021
Schleswig-Holstein;39.351;207;1.741;1.119;13.2.2021
Thüringen;70.472;418;2.107;2.566;13.2.2021
Gesamt;2.328.447;8.354;50.008;64.742;13.2.2021
