Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;36.041;+51;199;1.837;11.7.2020
Bayern;49.184;+98;469;2.612;11.7.2020
Berlin;8.617;+31;195;216;11.7.2020
Brandenburg;3.459;+7;20;168;11.7.2020
Bremen;1.689;+1;14;55;11.7.2020
Hamburg;5.230;-1;16;261;11.7.2020
Hessen;11.122;+18;189;514;11.7.2020
Mecklenburg-Vorpommern;804;+1;0;20;11.7.2020
Niedersachsen;13.799;+8;97;641;11.7.2020
Nordrhein-Westfalen;44.788;+143;857;1.704;11.7.2020
Rheinland-Pfalz;7.136;+10;56;236;11.7.2020
Saarland;2.812;0;7;174;11.7.2020
Sachsen;5.473;+4;14;225;11.7.2020
Sachsen-Anhalt;1.907;+2;24;61;11.7.2020
Schleswig-Holstein;3.206;+4;24;154;11.7.2020
Thüringen;3.289;+1;22;182;11.7.2020
Gesamt;198.556;+378;2.203;9.060;11.7.2020
