Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;206.397;4.284;22.099;3.892;19.12.2020
Bayern;283.289;5.283;28.077;5.566;19.12.2020
Berlin;85.244;1.547;6.774;985;19.12.2020
Brandenburg;31.224;1.132;4.280;635;19.12.2020
Bremen;12.367;135;884;167;19.12.2020
Hamburg;31.591;547;2.478;528;19.12.2020
Hessen;118.697;3.224;12.311;2.085;19.12.2020
Mecklenburg-Vorpommern;9.448;221;1.543;114;19.12.2020
Niedersachsen;92.773;1.585;8.128;1.605;19.12.2020
Nordrhein-Westfalen;345.186;6.010;32.522;5.177;19.12.2020
Rheinland-Pfalz;62.002;1.241;6.691;1.041;19.12.2020
Saarland;17.358;244;1.719;349;19.12.2020
Sachsen;102.193;3.316;17.600;2.132;19.12.2020
Sachsen-Anhalt;21.867;1.012;3.784;376;19.12.2020
Schleswig-Holstein;20.259;453;2.724;322;19.12.2020
Thüringen;31.343;1.066;6.082;666;19.12.2020
Gesamt;1.471.238;31.300;157.696;25.640;19.12.2020
