Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;59.353;+700;4.740;1.928;18.10.2020
Bayern;78.940;+1.036;5.748;2.713;18.10.2020
Berlin;21.127;+363;3.075;240;18.10.2020
Brandenburg;5.414;+109;567;172;18.10.2020
Bremen;3.564;+87;493;63;18.10.2020
Hamburg;9.750;+293;714;280;18.10.2020
Hessen;25.440;+407;3.465;573;18.10.2020
Mecklenburg-Vorpommern;1.680;90;256;21;18.10.2020
Niedersachsen;25.581;+294;2.449;714;18.10.2020
Nordrhein-Westfalen;89.681;+1.477;9.819;1.943;18.10.2020
Rheinland-Pfalz;13.404;+177;1.303;263;18.10.2020
Saarland;4.356;+135;651;177;18.10.2020
Sachsen;9.935;+197;1.290;257;18.10.2020
Sachsen-Anhalt;3.242;+108;312;71;18.10.2020
Schleswig-Holstein;5.626;+26;384;163;18.10.2020
Thüringen;4.881;+88;432;199;18.10.2020
Gesamt;361.974;+5.587;35.698;9.777;18.10.2020
