Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;63.132;+1.438;5.939;1.950;22.10.2020
Bayern;84.090;+1.988;8.051;2.729;22.10.2020
Berlin;23.698;+971;3.785;243;22.10.2020
Brandenburg;5.948;+278;723;177;22.10.2020
Bremen;3.868;+143;604;63;22.10.2020
Hamburg;10.407;+200;859;282;22.10.2020
Hessen;28.440;+1.133;4.800;593;22.10.2020
Mecklenburg-Vorpommern;1.877;+87;309;21;22.10.2020
Niedersachsen;27.426;+815;2.879;720;22.10.2020
Nordrhein-Westfalen;97.507;+2.624;12.702;1.980;22.10.2020
Rheinland-Pfalz;14.640;+441;1.854;265;22.10.2020
Saarland;4.625;+158;620;178;22.10.2020
Sachsen;11.507;+601;1.956;269;22.10.2020
Sachsen-Anhalt;3.487;+100;412;71;22.10.2020
Schleswig-Holstein;6.147;+158;685;163;22.10.2020
Thüringen;5.250;+152;594;201;22.10.2020
Gesamt;392.049;+11.287;46.772;9.905;22.10.2020
