Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;38.422;+152;598;1.859;15.8.2020
Bayern;52.847;+202;986;2.631;15.8.2020
Berlin;10.196;+220;500;224;15.8.2020
Brandenburg;3.695;+12;54;169;15.8.2020
Bremen;1.835;+7;35;56;15.8.2020
Hamburg;5.850;+29;172;264;15.8.2020
Hessen;13.390;+203;732;526;15.8.2020
Mecklenburg-Vorpommern;970;+11;33;20;15.8.2020
Niedersachsen;15.343;+25;381;656;15.8.2020
Nordrhein-Westfalen;54.106;+445;2.659;1.777;15.8.2020
Rheinland-Pfalz;8.095;+36;320;242;15.8.2020
Saarland;2.986;+10;60;174;15.8.2020
Sachsen;5.719;+14;75;225;15.8.2020
Sachsen-Anhalt;2.114;+15;55;64;15.8.2020
Schleswig-Holstein;3.768;+24;187;158;15.8.2020
Thüringen;3.492;+10;67;186;15.8.2020
Gesamt;222.828;+1.415;6.914;9.231;15.8.2020
