Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;48.135;+252;1.387;1.876;25.9.2020
Bayern;66.557;+365;2.294;2.657;25.9.2020
Berlin;13.811;+238;943;228;25.9.2020
Brandenburg;4.178;+28;102;169;25.9.2020
Bremen;2.280;+18;105;59;25.9.2020
Hamburg;7.431;+62;317;269;25.9.2020
Hessen;18.221;+186;790;548;25.9.2020
Mecklenburg-Vorpommern;1.144;+8;49;20;25.9.2020
Niedersachsen;19.443;+128;761;681;25.9.2020
Nordrhein-Westfalen;67.278;+598;2.900;1.861;25.9.2020
Rheinland-Pfalz;10.381;+99;364;251;25.9.2020
Saarland;3.270;+8;49;176;25.9.2020
Sachsen;6.942;+55;293;230;25.9.2020
Sachsen-Anhalt;2.525;+28;104;67;25.9.2020
Schleswig-Holstein;4.603;+63;237;161;25.9.2020
Thüringen;4.024;+17;124;190;25.9.2020
Gesamt;280.223;+2.153;10.819;9.443;25.9.2020
