Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.272;+36;139;1.824;20.6.2020
Bayern;47.827;+28;217;2.566;20.6.2020
Berlin;7.733;+130;452;211;20.6.2020
Brandenburg;3.383;+9;45;163;20.6.2020
Bremen;1.636;+10;55;49;20.6.2020
Hamburg;5.160;+4;19;259;20.6.2020
Hessen;10.556;+53;217;500;20.6.2020
Mecklenburg-Vorpommern;791;0;9;20;20.6.2020
Niedersachsen;13.136;+39;240;618;20.6.2020
Nordrhein-Westfalen;40.372;+216;1.200;1663;20.6.2020
Rheinland-Pfalz;6.903;+20;61;234;20.6.2020
Saarland;2.776;+2;9;168;20.6.2020
Sachsen;5.408;+26;61;221;20.6.2020
Sachsen-Anhalt;1.839;+21;92;57;20.6.2020
Schleswig-Holstein;3.133;+2;14;152;20.6.2020
Thüringen;3.210;+5;46;178;20.6.2020
Gesamt;189.135;+601;2.876;8.883;20.6.2020
