Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;115.670;+2.131;14.694;2.258;15.11.2020
Bayern;156.421;+3.265;23.631;3.133;15.11.2020
Berlin;47.265;+831;7.584;358;15.11.2020
Brandenburg;12.636;+431;1.771;238;15.11.2020
Bremen;8.153;+188;1.071;94;15.11.2020
Hamburg;19.977;+527;2.274;311;15.11.2020
Hessen;64.393;+1.931;10.711;864;15.11.2020
Mecklenburg-Vorpommern;4.397;+108;676;38;15.11.2020
Niedersachsen;55.325;+1.442;8.375;903;15.11.2020
Nordrhein-Westfalen;200.063;+3.700;29.736;2.623;15.11.2020
Rheinland-Pfalz;32.013;+616;5.670;362;15.11.2020
Saarland;10.110;+397;1.563;214;15.11.2020
Sachsen;33.924;+917;6.236;511;15.11.2020
Sachsen-Anhalt;8.040;+99;1.255;105;15.11.2020
Schleswig-Holstein;11.361;+158;1.506;219;15.11.2020
Thüringen;10.755;+206;1.797;254;15.11.2020
Gesamt;790.503;+16.947;118.550;12.485;15.11.2020
