Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;312.399;874;5.054;7.985;24.2.2021
Bayern;430.386;950;7.243;12.233;24.2.2021
Berlin;127.483;296;1.973;2.766;24.2.2021
Brandenburg;75.337;292;1.592;2.948;24.2.2021
Bremen;17.584;66;490;329;24.2.2021
Hamburg;50.673;162;1.176;1.235;24.2.2021
Hessen;185.434;681;3.789;5.751;24.2.2021
Mecklenburg-Vorpommern;23.712;205;1.038;714;24.2.2021
Niedersachsen;160.402;749;4.817;4.204;24.2.2021
Nordrhein-Westfalen;524.022;1.838;10.926;12.800;24.2.2021
Rheinland-Pfalz;100.633;279;2.124;3.031;24.2.2021
Saarland;28.369;134;606;852;24.2.2021
Sachsen;191.563;514;2.696;7.529;24.2.2021
Sachsen-Anhalt;59.049;232;1.787;2.339;24.2.2021
Schleswig-Holstein;41.468;258;1.454;1.245;24.2.2021
Thüringen;74.304;477;2.530;2.779;24.2.2021
Gesamt;2.402.818;8.007;49.295;68.740;24.2.2021
