Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.272;0;109;1.824;22.6.2020
Bayern;47.867;+24;233;2.567;22.6.2020
Berlin;7.833;+29;472;211;22.6.2020
Brandenburg;3.394;+6;50;163;22.6.2020
Bremen;1.648;+3;56;49;22.6.2020
Hamburg;5.170;+7;25;259;22.6.2020
Hessen;10.578;+3;214;501;22.6.2020
Mecklenburg-Vorpommern;792;0;9;20;22.6.2020
Niedersachsen;13.283;+147;344;618;22.6.2020
Nordrhein-Westfalen;41.218;+297;1860;1.663;22.6.2020
Rheinland-Pfalz;6.917;+10;71;234;22.6.2020
Saarland;2.778;0;10;168;22.6.2020
Sachsen;5.408;0;60;221;22.6.2020
Sachsen-Anhalt;1.844;+2;74;57;22.6.2020
Schleswig-Holstein;3.136;+2;17;152;22.6.2020
Thüringen;3.221;+7;41;178;22.6.2020
Gesamt;190.359;+537;3.645;8.885;22.6.2020
