Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;271.976;1.940;13.665;6.050;16.1.2021
Bayern;372.696;3.024;19.449;8.639;16.1.2021
Berlin;111.730;990;5.791;1.800;16.1.2021
Brandenburg;56.036;634;5.086;1.549;16.1.2021
Bremen;14.796;97;545;230;16.1.2021
Hamburg;42.349;279;1.836;895;16.1.2021
Hessen;157.255;1.128;8.106;3.907;16.1.2021
Mecklenburg-Vorpommern;16.361;372;1.862;296;16.1.2021
Niedersachsen;127.115;1.932;7.889;2.604;16.1.2021
Nordrhein-Westfalen;447.493;3.334;21.919;9.033;16.1.2021
Rheinland-Pfalz;84.229;753;4.655;2.035;16.1.2021
Saarland;22.939;197;1.174;606;16.1.2021
Sachsen;165.292;1.823;10.416;4.982;16.1.2021
Sachsen-Anhalt;42.249;855;5.148;1.089;16.1.2021
Schleswig-Holstein;30.581;422;2.535;648;16.1.2021
Thüringen;56.539;898;5.724;1.611;16.1.2021
Gesamt;2.019.636;18.678;115.800;45.974;16.1.2021
