Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.771;+27;222;1.839;3.7.2020
Bayern;48.587;+40;390;2.598;3.7.2020
Berlin;8.345;+43;219;214;3.7.2020
Brandenburg;3.450;+7;27;166;3.7.2020
Bremen;1.675;+5;17;53;3.7.2020
Hamburg;5.212;+1;27;260;3.7.2020
Hessen;10.894;+25;170;509;3.7.2020
Mecklenburg-Vorpommern;803;0;6;20;3.7.2020
Niedersachsen;13.632;+27;167;633;3.7.2020
Nordrhein-Westfalen;43.660;+224;1.209;1.686;3.7.2020
Rheinland-Pfalz;7.068;+32;107;235;3.7.2020
Saarland;2.805;-2;6;174;3.7.2020
Sachsen;5.453;-4;11;224;3.7.2020
Sachsen-Anhalt;1.878;+2;14;59;3.7.2020
Schleswig-Holstein;3.176;+13;29;152;3.7.2020
Thüringen;3.265;+6;21;181;3.7.2020
Gesamt;195.674;+446;2.642;9.003;3.7.2020
