Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;249.397;2.957;13.769;5.180;6.1.2021
Bayern;338.786;1.691;18.224;7.260;6.1.2021
Berlin;100.760;1.235;4.287;1.390;6.1.2021
Brandenburg;44.556;1.393;3.626;1.083;6.1.2021
Bremen;13.915;112;502;209;6.1.2021
Hamburg;38.575;696;2.085;695;6.1.2021
Hessen;142.925;1.913;8.161;3.211;6.1.2021
Mecklenburg-Vorpommern;13.225;487;1.551;200;6.1.2021
Niedersachsen;112.166;713;6.109;2.122;6.1.2021
Nordrhein-Westfalen;408.998;4.510;20.699;7.246;6.1.2021
Rheinland-Pfalz;75.885;923;4.512;1.582;6.1.2021
Saarland;20.497;225;779;467;6.1.2021
Sachsen;143.122;2.120;10.673;3.502;6.1.2021
Sachsen-Anhalt;33.019;539;3.456;725;6.1.2021
Schleswig-Holstein;26.536;550;2.216;497;6.1.2021
Thüringen;46.285;1.173;5.218;1.168;6.1.2021
Gesamt;1.808.647;21.237;105.867;36.537;6.1.2021
