Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;85.442;+1.848;12.964;2.045;3.11.2020
Bayern;112.301;+2.952;17.760;2.816;3.11.2020
Berlin;33.310;+717;5.737;261;3.11.2020
Brandenburg;8.691;+365;1.684;203;3.11.2020
Bremen;5.901;+228;1.415;77;3.11.2020
Hamburg;14.288;+252;1.873;291;3.11.2020
Hessen;44.598;+1.219;10.044;683;3.11.2020
Mecklenburg-Vorpommern;2.917;-1;687;23;3.11.2020
Niedersachsen;38.862;+943;7.104;763;3.11.2020
Nordrhein-Westfalen;144.137;+4.652;29.158;2.193;3.11.2020
Rheinland-Pfalz;21.787;+825;4.416;294;3.11.2020
Saarland;7.228;+199;1.619;194;3.11.2020
Sachsen;19.489;+742;4.659;342;3.11.2020
Sachsen-Anhalt;5.423;+100;1.137;83;3.11.2020
Schleswig-Holstein;8.600;+144;1.632;183;3.11.2020
Thüringen;7.405;+167;1.384;210;3.11.2020
Gesamt;560.379;+15.352;103.273;10.661;3.11.2020
