Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;262.509;1.022;15.381;5.665;12.1.2021
Bayern;358.804;1.882;20.840;8.053;12.1.2021
Berlin;107.226;1.036;6.873;1.591;12.1.2021
Brandenburg;51.521;1.341;6.519;1.335;12.1.2021
Bremen;14.383;18;588;225;12.1.2021
Hamburg;40.960;273;2.347;820;12.1.2021
Hessen;151.293;503;9.887;3.588;12.1.2021
Mecklenburg-Vorpommern;14.882;125;2.074;254;12.1.2021
Niedersachsen;121.103;469;9.146;2.386;12.1.2021
Nordrhein-Westfalen;431.807;2.301;26.667;8.181;12.1.2021
Rheinland-Pfalz;81.039;590;5.709;1.838;12.1.2021
Saarland;22.142;242;1.819;555;12.1.2021
Sachsen;156.677;1.050;13.921;4.196;12.1.2021
Sachsen-Anhalt;38.320;1.020;5.216;912;12.1.2021
Schleswig-Holstein;28.845;221;2.853;569;12.1.2021
Thüringen;52.315;709;6.948;1.409;12.1.2021
Gesamt;1.933.826;12.802;136.788;41.577;12.1.2021
