Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;44.118;+257;1.530;1.867;9.9.2020
Bayern;60.121;+317;2.114;2.644;9.9.2020
Berlin;11.879;+87;474;226;9.9.2020
Brandenburg;3.959;+16;67;169;9.9.2020
Bremen;2.085;+12;72;58;9.9.2020
Hamburg;6.527;0;170;267;9.9.2020
Hessen;16.375;+97;660;536;9.9.2020
Mecklenburg-Vorpommern;1.038;+4;28;20;9.9.2020
Niedersachsen;17.454;+82;482;665;9.9.2020
Nordrhein-Westfalen;60.878;+183;1.543;1.826;9.9.2020
Rheinland-Pfalz;9.483;+49;302;245;9.9.2020
Saarland;3.208;+9;50;175;9.9.2020
Sachsen;6.191;+36;127;225;9.9.2020
Sachsen-Anhalt;2.290;+3;31;66;9.9.2020
Schleswig-Holstein;4.168;+18;105;161;9.9.2020
Thüringen;3.700;+6;55;188;9.9.2020
Gesamt;253.474;+1.176;7.810;9.338;9.9.2020
