Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;230.029;1.136;16.947;4.486;28.12.2020
Bayern;312.972;1.881;22.022;6.265;28.12.2020
Berlin;93.796;815;6.235;1.149;28.12.2020
Brandenburg;37.137;342;3.524;788;28.12.2020
Bremen;13.205;40;611;183;28.12.2020
Hamburg;35.331;221;2.565;589;28.12.2020
Hessen;131.804;370;9.582;2.511;28.12.2020
Mecklenburg-Vorpommern;11.055;116;1.239;143;28.12.2020
Niedersachsen;103.244;394;7.690;1.802;28.12.2020
Nordrhein-Westfalen;380.487;2.382;26.430;6.066;28.12.2020
Rheinland-Pfalz;69.197;439;5.073;1.272;28.12.2020
Saarland;19.322;172;1.499;412;28.12.2020
Sachsen;124.189;1.739;15.121;2.733;28.12.2020
Sachsen-Anhalt;27.438;374;4.014;515;28.12.2020
Schleswig-Holstein;23.524;191;2.496;376;28.12.2020
Thüringen;39.104;364;6.149;836;28.12.2020
Gesamt;1.651.834;10.976;131.197;30.126;28.12.2020
