Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;237.993;3.495;14.717;4.789;31.12.2020
Bayern;324.937;6.598;21.434;6.716;31.12.2020
Berlin;96.788;1.059;4.612;1.247;31.12.2020
Brandenburg;41.241;1.614;4.457;937;31.12.2020
Bremen;13.559;148;546;194;31.12.2020
Hamburg;36.417;470;1.856;632;31.12.2020
Hessen;136.577;3.102;8.311;2.845;31.12.2020
Mecklenburg-Vorpommern;11.997;374;1.430;171;31.12.2020
Niedersachsen;106.789;2.021;6.362;1.967;31.12.2020
Nordrhein-Westfalen;393.185;5.748;22.750;6.552;31.12.2020
Rheinland-Pfalz;71.993;1.244;4.503;1.428;31.12.2020
Saarland;19.879;340;1.115;432;31.12.2020
Sachsen;132.356;3.571;13.302;3.139;31.12.2020
Sachsen-Anhalt;29.200;884;3.365;602;31.12.2020
Schleswig-Holstein;24.792;508;2.239;425;31.12.2020
Thüringen;42.034;1.376;5.258;995;31.12.2020
Gesamt;1.719.737;32.552;116.257;33.071;31.12.2020
