Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;139.768;2.876;14.286;2.580;26.11.2020
Bayern;193.533;4.724;22.705;3.647;26.11.2020
Berlin;60.554;1.630;7.397;508;26.11.2020
Brandenburg;17.011;695;2.329;307;26.11.2020
Bremen;9.642;193;902;114;26.11.2020
Hamburg;23.330;-1;1330;347;26.11.2020
Hessen;81.327;2.067;9.950;1.163;26.11.2020
Mecklenburg-Vorpommern;5.510;122;710;57;26.11.2020
Niedersachsen;66.802;1.094;6.827;1.079;26.11.2020
Nordrhein-Westfalen;245.871;4.909;27.680;3.210;26.11.2020
Rheinland-Pfalz;40.847;878;5.373;465;26.11.2020
Saarland;11.960;274;1.105;249;26.11.2020
Sachsen;47.690;1.408;7.748;720;26.11.2020
Sachsen-Anhalt;10.930;514;1.784;145;26.11.2020
Schleswig-Holstein;13.564;257;1.390;242;26.11.2020
Thüringen;15.249;628;3.080;327;26.11.2020
Gesamt;983.588;22.268;114.596;15.160;26.11.2020
