Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;150.719;1.401;14.875;2.776;1.12.2020
Bayern;209.682;2.523;22.501;3.862;1.12.2020
Berlin;65.145;925;6.609;565;1.12.2020
Brandenburg;19.122;382;2.283;344;1.12.2020
Bremen;10.094;185;793;123;1.12.2020
Hamburg;24.855;150;1.361;373;1.12.2020
Hessen;88.078;1.286;9.633;1.298;1.12.2020
Mecklenburg-Vorpommern;5.995;45;750;64;1.12.2020
Niedersachsen;71.586;321;6.200;1.159;1.12.2020
Nordrhein-Westfalen;263.715;3.069;25.629;3.515;1.12.2020
Rheinland-Pfalz;44.371;753;4.911;546;1.12.2020
Saarland;12.814;141;1.194;255;1.12.2020
Sachsen;57.037;1.763;10.455;965;1.12.2020
Sachsen-Anhalt;12.528;189;2.063;176;1.12.2020
Schleswig-Holstein;14.344;81;1.266;255;1.12.2020
Thüringen;17.388;390;3.045;360;1.12.2020
Gesamt;1.067.473;13.604;113.568;16.636;1.12.2020
