Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;243.914;1.170;14.266;4.925;3.1.2021
Bayern;332.619;1.764;20.621;6.868;3.1.2021
Berlin;98.097;460;4.443;1.285;3.1.2021
Brandenburg;42.713;329;4.462;993;3.1.2021
Bremen;13.713;10;556;202;3.1.2021
Hamburg;37.535;242;2.180;661;3.1.2021
Hessen;139.965;597;8.437;2.962;3.1.2021
Mecklenburg-Vorpommern;12.454;92;1.459;177;3.1.2021
Niedersachsen;110.271;461;7.114;2.028;3.1.2021
Nordrhein-Westfalen;400.594;1.916;22.030;6.751;3.1.2021
Rheinland-Pfalz;73.915;370;4.822;1.466;3.1.2021
Saarland;20.141;30;895;441;3.1.2021
Sachsen;138.332;1.301;13.425;3.353;3.1.2021
Sachsen-Anhalt;31.497;789;3.826;687;3.1.2021
Schleswig-Holstein;25.540;293;2.248;443;3.1.2021
Thüringen;44.366;491;5.310;1.030;3.1.2021
Gesamt;1.765.666;10.315;116.094;34.272;3.1.2021
