Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.129;-371*;261;1.724;28.5.2020
Bayern;46.729;+271;695;2.438;28.5.2020
Berlin;6.703;+30;110;195;28.5.2020
Brandenburg;3.261;+15;26;155;28.5.2020
Bremen;1.348;+26;73;41;28.5.2020
Hamburg;5.076;+4;15;245;28.5.2020
Hessen;9.915;+55;281;471;28.5.2020
Mecklenburg-Vorpommern;760;0;1;20;28.5.2020
Niedersachsen;11.750;+72;311;583;28.5.2020
Nordrhein-Westfalen;37.698;+157;702;1.582;28.5.2020
Rheinland-Pfalz;6.652;+41;76;230;28.5.2020
Saarland;2.731;+1;20;161;28.5.2020
Sachsen;5.260;+13;51;210;28.5.2020
Sachsen-Anhalt;1.701;+3;11;55;28.5.2020
Schleswig-Holstein;3.072;+2;46;143;28.5.2020
Thüringen;2.932;+34;122;158;28.5.2020
Gesamt;179.717;+353;2.801;8.411;28.5.2020
