Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.479;+350*;310;1.743;29.5.2020
Bayern;46.809;+80;707;2.441;29.5.2020
Berlin;6.738;+35;136;196;29.5.2020
Brandenburg;3.271;+10;31;155;29.5.2020
Bremen;1.372;+24;81;41;29.5.2020
Hamburg;5.078;+2;12;246;29.5.2020
Hessen;9.962;+47;298;476;29.5.2020
Mecklenburg-Vorpommern;759;-1;1;20;29.5.2020
Niedersachsen;11.832;+82;344;585;29.5.2020
Nordrhein-Westfalen;37.803;+105;703;1.588;29.5.2020
Rheinland-Pfalz;6.673;+21;92;230;29.5.2020
Saarland;2.716;-15**;20;162;29.5.2020
Sachsen;5.230;-30**;66;209;29.5.2020
Sachsen-Anhalt;1.700;-1;9;55;29.5.2020
Schleswig-Holstein;3.078;+6;29;144;29.5.2020
Thüringen;2.958;+26;128;159;29.5.2020
Gesamt;180.458;+741;2.967;8.450;29.5.2020
