Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;254.652;3.977;12.404;5.337;8.1.2021
Bayern;348.143;5.863;17.915;7.656;8.1.2021
Berlin;103.639;1.569;5.538;1.487;8.1.2021
Brandenburg;48.351;2.631;5.369;1.221;8.1.2021
Bremen;14.177;108;501;213;8.1.2021
Hamburg;39.587;433;2.172;763;8.1.2021
Hessen;147.012;2.003;8.268;3.349;8.1.2021
Mecklenburg-Vorpommern;14.031;330;1.740;226;8.1.2021
Niedersachsen;116.432;2.150;6.758;2.258;8.1.2021
Nordrhein-Westfalen;420.190;5.149;22.912;7.706;8.1.2021
Rheinland-Pfalz;78.087;1.096;4.743;1.686;8.1.2021
Saarland;21.321;516;1.265;497;8.1.2021
Sachsen;149.707;3.049;12.118;3.814;8.1.2021
Sachsen-Anhalt;34.971;1.042;3.955;805;8.1.2021
Schleswig-Holstein;27.542;464;2.417;520;8.1.2021
Thüringen;49.045;1.469;5.480;1.257;8.1.2021
Gesamt;1.866.887;31.849;113.555;38.795;8.1.2021
