Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.791;+24;329;1.858;10.8.2020
Bayern;51.848;+45;607;2.627;10.8.2020
Berlin;9.698;+10;361;224;10.8.2020
Brandenburg;3.627;+1;48;169;10.8.2020
Bremen;1.804;+1;22;56;10.8.2020
Hamburg;5.678;+14;229;262;10.8.2020
Hessen;12.737;+34;585;525;10.8.2020
Mecklenburg-Vorpommern;938;+2;55;20;10.8.2020
Niedersachsen;14.974;+31;356;654;10.8.2020
Nordrhein-Westfalen;51.762;+201;2.231;1.759;10.8.2020
Rheinland-Pfalz;7.832;+61;275;239;10.8.2020
Saarland;2.930;+4;38;174;10.8.2020
Sachsen;5.632;0;82;225;10.8.2020
Sachsen-Anhalt;2.061;+4;29;64;10.8.2020
Schleswig-Holstein;3.588;+2;110;158;10.8.2020
Thüringen;3.427;+2;50;183;10.8.2020
Gesamt;216.327;+436;5.407;9.197;10.8.2020
