Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.399;+54;311;1.697;24.5.2020
Bayern;46.206;+74;353;2.377;24.5.2020
Berlin;6.637;+23;177;191;24.5.2020
Brandenburg;3.214;+1;128;154;24.5.2020
Bremen;1.299;+3;190;41;24.5.2020
Hamburg;5.066;+3;275;241;24.5.2020
Hessen;9.762;+92;156;460;24.5.2020
Mecklenburg-Vorpommern;760;-3;47;20;24.5.2020
Niedersachsen;11.578;+57;145;572;24.5.2020
Nordrhein-Westfalen;37.223;+84;208;1.563;24.5.2020
Rheinland-Pfalz;6.590;+8;161;227;24.5.2020
Saarland;2.713;+4;274;157;24.5.2020
Sachsen;5.221;+2;128;204;24.5.2020
Sachsen-Anhalt;1.694;+2;77;54;24.5.2020
Schleswig-Holstein;3.062;+0;106;137;24.5.2020
Thüringen;2.857;+27;133;152;24.5.2020
Gesamt;178.281;+431;214;8.247;24.5.2020
