Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;36.342;0;226;1.838;20.7.2020
Bayern;49.775;+65;456;2.616;20.7.2020
Berlin;8.779;+5;130;221;20.7.2020
Brandenburg;3.483;+7;23;167;20.7.2020
Bremen;1.720;+2;30;55;20.7.2020
Hamburg;5.240;0;14;261;20.7.2020
Hessen;11.409;+23;230;514;20.7.2020
Mecklenburg-Vorpommern;806;0;2;20;20.7.2020
Niedersachsen;14.030;+67;200;645;20.7.2020
Nordrhein-Westfalen;46.075;+51;1.048;1.713;20.7.2020
Rheinland-Pfalz;7.314;+15;126;238;20.7.2020
Saarland;2.830;+2;11;174;20.7.2020
Sachsen;5.488;0;12;225;20.7.2020
Sachsen-Anhalt;1.950;+4;31;62;20.7.2020
Schleswig-Holstein;3.261;+8;48;155;20.7.2020
Thüringen;3.321;0;27;182;20.7.2020
Gesamt;201.823;+249;2.614;9.086;20.7.2020
