Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;56.488;+849;3.838;1.919;15.10.2020
Bayern;75.535;+1.076;4.193;2.700;15.10.2020
Berlin;19.537;+504;2.612;237;15.10.2020
Brandenburg;5.098;+101;473;172;15.10.2020
Bremen;3.274;+108;469;62;15.10.2020
Hamburg;9.288;+135;563;278;15.10.2020
Hessen;23.481;+662;2.620;569;15.10.2020
Mecklenburg-Vorpommern;1.532;+60;194;20;15.10.2020
Niedersachsen;24.009;+449;1.838;706;15.10.2020
Nordrhein-Westfalen;84.161;+1.805;8.085;1.931;15.10.2020
Rheinland-Pfalz;12.647;+237;1.065;260;15.10.2020
Saarland;3.960;+93;425;177;15.10.2020
Sachsen;9.122;+380;1.072;252;15.10.2020
Sachsen-Anhalt;2.999;+33;168;68;15.10.2020
Schleswig-Holstein;5.456;+65;365;163;15.10.2020
Thüringen;4.636;+81;347;196;15.10.2020
Gesamt;341.223;+6.638;28.327;9.710;15.10.2020
