Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;104.707;+2.414;14.721;2.167;11.11.2020
Bayern;139.914;+3.278;22.405;3.018;11.11.2020
Berlin;42.014;+1.554;6.450;314;11.11.2020
Brandenburg;11.031;+241;1.692;226;11.11.2020
Bremen;7.367;+113;1.268;89;11.11.2020
Hamburg;17.860;+423;2.085;305;11.11.2020
Hessen;57.466;+1.722;10.964;809;11.11.2020
Mecklenburg-Vorpommern;3.910;+124;739;34;11.11.2020
Niedersachsen;48.400;+1.081;7.259;843;11.11.2020
Nordrhein-Westfalen;180.523;+4.572;30.129;2.465;11.11.2020
Rheinland-Pfalz;28.034;+797;5.164;334;11.11.2020
Saarland;9.012;+372;1.477;205;11.11.2020
Sachsen;28.507;+1.168;6.034;426;11.11.2020
Sachsen-Anhalt;7.101;+173;1.317;96;11.11.2020
Schleswig-Holstein;10.466;+252;1.590;208;11.11.2020
Thüringen;9.375;+203;1.587;228;11.11.2020
Gesamt;705.687;+18.487;114.881;11.767;11.11.2020
