Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;147.887;2.272;14.366;2.702;29.11.2020
Bayern;205.211;3.261;22.869;3.785;29.11.2020
Berlin;63.064;0*;6.524;539;29.11.2020
Brandenburg;18.488;291;2.362;334;29.11.2020
Bremen;9.872;4;672;116;29.11.2020
Hamburg;24.602;297;1.506;372;29.11.2020
Hessen;86.279;1.434;9.545;1.240;29.11.2020
Mecklenburg-Vorpommern;5.908;88;742;61;29.11.2020
Niedersachsen;70.857;909;6.703;1.150;29.11.2020
Nordrhein-Westfalen;258.390;3.275;26.204;3.418;29.11.2020
Rheinland-Pfalz;43.036;366;4.771;515;29.11.2020
Saarland;12.486;249;1.045;251;29.11.2020
Sachsen;53.804;1.393;9.209;882;29.11.2020
Sachsen-Anhalt;11.938;271;1.921;163;29.11.2020
Schleswig-Holstein;14.192;179;1.372;249;29.11.2020
Thüringen;16.686;322;2.913;346;29.11.2020
Gesamt;1.042.700;14.611;112.724;16.123;29.11.2020
