Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.807;0;145;1.837;6.7.2020
Bayern;48.744;+79;387;2.600;6.7.2020
Berlin;8.451;+17;263;215;6.7.2020
Brandenburg;3.464;+4;30;168;6.7.2020
Bremen;1.679;+1;18;54;6.7.2020
Hamburg;5.220;0;18;261;6.7.2020
Hessen;10.955;+16;182;512;6.7.2020
Mecklenburg-Vorpommern;804;0;3;20;6.7.2020
Niedersachsen;13.672;+8;129;635;6.7.2020
Nordrhein-Westfalen;44.064;+74;1.068;1.689;6.7.2020
Rheinland-Pfalz;7.082;+2;88;235;6.7.2020
Saarland;2.806;+1;3;174;6.7.2020
Sachsen;5.458;0;13;224;6.7.2020
Sachsen-Anhalt;1.889;+9;17;59;6.7.2020
Schleswig-Holstein;3.187;+6;35;152;6.7.2020
Thüringen;3.272;+2;23;181;6.7.2020
Gesamt;196.554;+219;2.422;9.016;6.7.2020
