Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.784;+66;282;1.752;1.6.2020
Bayern;47.004;+87;606;2.451;1.6.2020
Berlin;6.816;+16;168;198;1.6.2020
Brandenburg;3.273;+2;34;155;1.6.2020
Bremen;1.398;0;87;42;1.6.2020
Hamburg;5.089;+2;9;253;1.6.2020
Hessen;10.047;+14;269;480;1.6.2020
Mecklenburg-Vorpommern;761;0;3;20;1.6.2020
Niedersachsen;12.043;+51;415;593;1.6.2020
Nordrhein-Westfalen;38.046;+46;719;1.598;1.6.2020
Rheinland-Pfalz;6.703;+9;106;230;1.6.2020
Saarland;2.724;0;20;163;1.6.2020
Sachsen;5.309;+5;67;214;1.6.2020
Sachsen-Anhalt;1.706;+1;12;55;1.6.2020
Schleswig-Holstein;3.097;+3;30;145;1.6.2020
Thüringen;3.015;+31;142;162;1.6.2020
Gesamt;181.815;+333;2.969;8.511;1.6.2020
