Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;69.601;+1.119;8.938;1.972;26.10.2020
Bayern;91.569;+1.583;11.447;2.746;26.10.2020
Berlin;26.094;+304;4.499;250;26.10.2020
Brandenburg;6.515;+52;897;184;26.10.2020
Bremen;4.407;+65;826;64;26.10.2020
Hamburg;11.514;+168;1.382;283;26.10.2020
Hessen;32.852;+625;6.853;611;26.10.2020
Mecklenburg-Vorpommern;2.165;+32;451;21;26.10.2020
Niedersachsen;30.476;+836;4.107;732;26.10.2020
Nordrhein-Westfalen;110.516;+2.757;18.808;2.024;26.10.2020
Rheinland-Pfalz;16.549;+431;2.676;268;26.10.2020
Saarland;5.321;+32;901;179;26.10.2020
Sachsen;13.653;+416;2.900;278;26.10.2020
Sachsen-Anhalt;3.994;+89;671;74;26.10.2020
Schleswig-Holstein;6.777;+115;1.055;167;26.10.2020
Thüringen;5.863;+61;909;203;26.10.2020
Gesamt;437.866;+8.685;67.320;10.056;26.10.2020
